city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,Year
London,31-10-2020,205,47.9,46.7,12.5,43,32,67,5,Urban,1331,2020
Beijing,01-11-2020,361,13.3,34.4,21.2,42,12.3,30,5,Urban,1577,2020
Beijing,02-11-2020,403,18,15.8,14.4,32.5,10.3,59,3,Urban,1580,2020
Mexico City,03-11-2020,245,36.6,54.5,27.7,59.4,10.9,39,10,Urban,101,2020
Delhi,04-11-2020,418,19,22.5,43.7,45.8,27,80,3,Urban,1418,2020
Delhi,05-11-2020,55,29.4,69.2,24.2,24.3,22.9,57,1,Suburban,1726,2020
Beijing,06-11-2020,402,33.3,46.8,30.6,53.8,-3,29,8,Urban,1257,2020
Beijing,07-11-2020,299,4.8,79.1,38,52.4,10.5,54,0,Urban,1194,2020
Delhi,08-11-2020,96,38.4,84.1,35.2,43.7,26.2,82,7,Urban,952,2020
Beijing,09-11-2020,337,32.3,0.4,28.4,31.7,27.7,60,11,Rural,390,2020
Beijing,10-11-2020,348,11.7,22.8,20.6,10.4,-4.5,61,0,Urban,539,2020
Beijing,11-11-2020,123,26,43,16.5,30.8,-2.4,88,5,Suburban,1137,2020
Beijing,12-11-2020,483,46.4,56.9,21.3,39.5,15.8,69,8,Urban,707,2020
Mexico City,13-11-2020,333,29.5,77.4,10.6,45.1,17.8,83,9,Suburban,592,2020
Delhi,14-11-2020,75,34.8,75.5,30.3,56.8,17.1,50,10,Urban,1393,2020
Tokyo,15-11-2020,497,38.7,40.1,32.7,63.1,24.4,57,8,Urban,1066,2020
Tokyo,16-11-2020,404,6.3,41.4,28.9,50.7,38.9,62,12,Urban,751,2020
Beijing,17-11-2020,241,55.9,38.1,13,44.1,31.3,77,15,Suburban,1918,2020
Beijing,18-11-2020,446,41.5,29.2,46.9,41.4,10,83,7,Urban,72,2020
Beijing,19-11-2020,156,40.8,16,32.5,20.6,29.3,35,8,Urban,1689,2020
Mexico City,21-11-2020,85,33.4,54.5,16.8,36.1,19.2,63,14,Suburban,538,2020
London,22-11-2020,350,34.4,74,37.7,22.2,5.8,59,9,Urban,766,2020
Beijing,23-11-2020,98,68.8,39.2,32.9,36.7,4.5,32,8,Urban,447,2020
Mexico City,24-11-2020,111,13.1,44.6,34.6,30.5,23.6,84,5,Suburban,1178,2020
Delhi,25-11-2020,113,43.9,72.3,26.9,51.2,26.1,33,9,Suburban,1388,2020
Delhi,27-11-2020,180,55.7,49.2,24.6,27.9,30.4,76,15,Suburban,1666,2020
Mexico City,28-11-2020,215,36.1,26.8,25.9,21.9,36.8,62,3,Urban,257,2020
London,29-11-2020,12,13.8,57.5,18.1,26.7,15.9,89,1,Rural,1486,2020
Delhi,30-11-2020,219,42.8,56.3,44,26.7,0.7,76,12,Suburban,876,2020
Mexico City,01-12-2020,238,50.8,46.6,21.8,24.6,-1.4,28,10,Urban,984,2020
Delhi,02-12-2020,63,40,48.9,36.7,22.1,33.3,48,13,Suburban,596,2020
Los Angeles,03-12-2020,443,48.1,18.7,40.4,47.9,39.8,44,7,Urban,793,2020
Delhi,04-12-2020,479,56.3,34.7,29.2,43.1,37.4,26,5,Urban,1969,2020
Tokyo,05-12-2020,233,46.7,97.3,31.6,32.2,25.7,75,9,Urban,376,2020
Delhi,06-12-2020,13,28.5,59.3,32.8,29.4,26.1,21,14,Rural,1292,2020
Cairo,07-12-2020,254,55.3,56.4,29,43.4,-1.2,52,13,Suburban,335,2020
London,08-12-2020,38,41.9,69.6,40.2,42.9,27,50,10,Suburban,1353,2020
Mexico City,09-12-2020,285,27.6,46.4,27.4,36.2,36.9,79,4,Urban,1722,2020
Los Angeles,10-12-2020,113,41.6,61.8,33.2,46.9,3.9,32,10,Urban,1748,2020
Los Angeles,11-12-2020,487,41,65.1,36.8,33.2,-4.6,54,10,Urban,795,2020
Tokyo,12-12-2020,252,37,89.7,47.5,28.5,14,81,7,Urban,1544,2020
Delhi,13-12-2020,145,14.9,43,33.1,42.3,32.2,73,5,Suburban,774,2020
Delhi,15-12-2020,479,46.3,45.8,24.1,45.8,18.1,29,11,Suburban,1351,2020
Mexico City,16-12-2020,109,26.1,31.1,34.9,45.5,15.2,86,10,Suburban,862,2020
Delhi,17-12-2020,381,42.6,58,35.8,39.5,2.5,22,11,Urban,393,2020
Mexico City,18-12-2020,459,40.1,89.5,9.1,42.8,15.1,81,14,Urban,1975,2020
Mexico City,19-12-2020,221,11.7,36.4,22.3,59.2,-3.7,48,4,Urban,177,2020
Beijing,20-12-2020,464,33.8,49.8,22.4,32.7,18,34,11,Urban,435,2020
Beijing,21-12-2020,421,39.8,62.3,31.4,37,8.3,85,3,Suburban,725,2020
Los Angeles,22-12-2020,259,59.8,55.8,32.2,53.2,12.7,20,13,Urban,460,2020
Los Angeles,23-12-2020,477,36.4,74.4,7.8,46.2,33.2,82,8,Urban,163,2020
Beijing,24-12-2020,88,60.5,37.4,41.4,29.1,0.8,25,10,Urban,1989,2020
Mexico City,25-12-2020,469,31,29.6,28.8,45.2,9.7,51,8,Urban,756,2020
Tokyo,26-12-2020,153,31.9,70.5,23,28.1,6.1,29,12,Suburban,1086,2020
Delhi,27-12-2020,225,10.5,52.6,21.4,33.5,10.6,28,2,Urban,650,2020
Delhi,28-12-2020,149,34.3,36.1,40.5,56.3,21.6,76,13,Urban,603,2020
Delhi,29-12-2020,454,29.3,91.3,34.9,44.7,24.3,36,10,Urban,1329,2020
Mexico City,30-12-2020,143,26.8,50.4,29.5,33.2,18.8,77,8,Suburban,1470,2020
Beijing,31-12-2020,351,27.4,66.3,26.7,38.8,10.2,24,9,Suburban,697,2020
Los Angeles,01-01-2021,263,20.9,49.7,5.6,27.8,7.7,88,6,Urban,565,2021
Mexico City,02-01-2021,38,21.6,43.2,28.6,30.2,-1.1,32,6,Rural,338,2021
Beijing,03-01-2021,382,35.3,28.1,23.4,18.4,27.7,84,0,Suburban,727,2021
Tokyo,04-01-2021,18,44.5,63.2,21.5,44,21.9,93,14,Urban,488,2021
Los Angeles,05-01-2021,90,55.8,48.5,21.6,14.5,4.9,21,14,Urban,1055,2021
Delhi,06-01-2021,199,40.8,45.4,34.1,7.9,12.8,63,6,Suburban,1357,2021
Beijing,07-01-2021,218,11.4,52.5,37.7,51.9,11.2,88,6,Suburban,1080,2021
Beijing,08-01-2021,322,39.8,53,15.1,38.4,20.9,64,4,Urban,1551,2021
Delhi,09-01-2021,30,55,49.1,11.8,27.3,5.5,41,7,Rural,1137,2021
Delhi,10-01-2021,447,39.4,49,38.6,37.7,-1.1,47,2,Urban,247,2021
Tokyo,11-01-2021,23,53.4,50.6,24.7,65.8,-3.3,58,9,Urban,1728,2021
Beijing,12-01-2021,18,30.2,65.9,35.2,36.4,7.2,55,13,Suburban,1348,2021
Beijing,13-01-2021,369,26.5,54.7,42.5,28,19.1,20,4,Urban,474,2021
Los Angeles,14-01-2021,135,27.1,15.6,33.4,23.1,0.7,34,4,Urban,1299,2021
Mexico City,15-01-2021,123,42.9,47.5,35.8,58.5,30.9,20,6,Suburban,296,2021
Tokyo,16-01-2021,373,21.5,57,43.6,47.7,16.3,34,10,Rural,668,2021
Los Angeles,17-01-2021,302,30.6,69,26.1,50.6,13.4,43,12,Urban,584,2021
Beijing,18-01-2021,181,41,50.1,25.8,35.1,8.5,24,7,Suburban,1848,2021
Beijing,19-01-2021,157,55.2,78.3,19.4,57.1,4.2,39,10,Suburban,428,2021
São Paulo,20-01-2021,301,22.5,20.2,46.9,52.5,2.5,45,5,Rural,1604,2021
Los Angeles,21-01-2021,430,56.4,39.6,32.5,22.7,3.9,67,12,Urban,1800,2021
Cairo,22-01-2021,199,57.4,59.8,39.8,50.2,10.3,59,8,Urban,556,2021
Delhi,23-01-2021,215,19.1,14.4,16.6,43.3,18.7,88,6,Urban,1675,2021
London,24-01-2021,103,28,35.7,41.7,44.9,28,47,5,Suburban,1501,2021
Mexico City,25-01-2021,265,26.6,45.8,38.2,36.3,8.3,81,8,Urban,1022,2021
Delhi,26-01-2021,30,20.2,47,33.6,34.7,1.2,58,14,Urban,1038,2021
Mexico City,27-01-2021,406,38.9,70.8,42.5,37.5,10.4,82,11,Urban,281,2021
Mexico City,28-01-2021,268,48,62,48.4,27.1,4.4,26,10,Urban,1324,2021
Delhi,29-01-2021,144,36.1,43.8,30.5,48.7,38.2,34,6,Urban,961,2021
Beijing,30-01-2021,92,34.3,15.5,34.8,35.2,-2.4,73,6,Urban,1167,2021
London,31-01-2021,132,59.1,38,42.2,37.8,-3.2,81,13,Urban,248,2021
Delhi,01-02-2021,34,27.4,57.6,29.1,41.5,5.5,57,6,Urban,506,2021
Beijing,02-02-2021,477,37.1,53.4,33.6,47.2,28.5,32,4,Suburban,781,2021
Beijing,03-02-2021,154,33.6,50.2,23.7,44.4,29.9,67,7,Urban,940,2021
Beijing,04-02-2021,461,24.5,68.7,36.6,21.4,-0.9,89,9,Urban,593,2021
Tokyo,05-02-2021,463,23.2,69.1,40.2,36.8,3.8,72,13,Suburban,1922,2021
Los Angeles,06-02-2021,7,39.8,60.6,28.7,51.1,39.4,47,8,Suburban,1600,2021
Delhi,07-02-2021,280,59.2,86.1,31.9,61.8,-2,60,16,Suburban,614,2021
São Paulo,08-02-2021,396,41.8,21.6,47.9,64.2,-3.7,34,10,Urban,942,2021
London,09-02-2021,119,19.8,42.8,35.5,60,11.6,70,9,Urban,605,2021
Delhi,10-02-2021,489,24.7,22,20.5,53,23.3,43,8,Urban,1259,2021
London,11-02-2021,309,38,68.9,28.4,38.8,28.6,33,12,Rural,255,2021
Delhi,12-02-2021,392,25.3,49.9,22.6,33.9,7.3,84,8,Suburban,172,2021
São Paulo,13-02-2021,385,40.1,40,21.1,57.8,18.5,83,8,Suburban,1467,2021
Mexico City,14-02-2021,70,43.3,49.7,15.7,40.1,24.2,28,9,Urban,1283,2021
Mexico City,15-02-2021,425,29.7,22.3,18.6,37.6,-0.9,62,15,Urban,1119,2021
Delhi,16-02-2021,60,1.9,84.7,28.4,55.7,15.3,68,1,Urban,673,2021
Tokyo,17-02-2021,495,34.5,71.9,34,30.9,36.5,21,6,Urban,695,2021
Delhi,18-02-2021,314,50,4.5,20.5,44.2,33.1,30,6,Urban,966,2021
Delhi,19-02-2021,308,41.2,63.9,29.5,26.7,37,53,3,Urban,767,2021
Delhi,20-02-2021,475,58.5,48,34.8,50.9,25.6,43,12,Suburban,1778,2021
Los Angeles,21-02-2021,216,46.7,52.8,42.1,52.8,28.3,48,8,Urban,482,2021
Delhi,22-02-2021,249,27.7,68.5,29.6,48.4,30.9,75,10,Rural,1785,2021
Tokyo,23-02-2021,339,26.7,40.3,36.6,28.8,38.6,31,6,Rural,686,2021
Mexico City,24-02-2021,111,31,76.9,38.6,38.8,37.3,33,11,Urban,769,2021
Delhi,25-02-2021,55,29.2,33.3,28.1,41.4,34.1,69,6,Suburban,1698,2021
Delhi,26-02-2021,490,38,39.4,26.3,49.4,-4.1,66,10,Suburban,1332,2021
Delhi,27-02-2021,368,17.8,64.9,27.8,51,20.5,62,13,Suburban,1052,2021
Mexico City,28-02-2021,285,24.1,65.8,25.3,59.4,25.1,54,7,Rural,1762,2021
London,01-03-2021,139,30.4,17,38.2,34.5,17,77,9,Urban,130,2021
Delhi,02-03-2021,399,35.3,57.6,38.9,35.1,24.2,64,12,Urban,784,2021
London,03-03-2021,333,46.9,65.3,39.6,22.6,-0.5,25,9,Urban,571,2021
Delhi,04-03-2021,215,28.2,53.6,19.1,46,35.4,59,11,Urban,1110,2021
London,05-03-2021,232,3.1,28.7,19.2,46.9,11.4,22,1,Urban,1248,2021
Tokyo,06-03-2021,473,49.9,59.6,38.9,43.4,3.8,39,7,Suburban,1102,2021
Los Angeles,07-03-2021,126,31.1,12.2,38.7,30.8,5.1,37,6,Urban,1324,2021
Mexico City,08-03-2021,37,31.7,45.5,39,33.8,34.9,34,6,Urban,504,2021
London,09-03-2021,384,46.6,42.1,13.9,39.8,12.7,44,16,Urban,1523,2021
Delhi,10-03-2021,112,51.5,30.1,29.4,23.8,14.7,53,4,Suburban,1462,2021
Delhi,11-03-2021,438,41.3,51.2,22.2,34.8,0,50,9,Suburban,494,2021
Delhi,12-03-2021,298,35.4,45.1,36.5,36.8,14.8,56,10,Urban,1640,2021
Beijing,13-03-2021,285,31.3,70.9,24.9,51.6,38.3,25,14,Urban,711,2021
Los Angeles,14-03-2021,121,19.6,19.6,27.2,44.6,38,70,11,Urban,870,2021
Mexico City,15-03-2021,419,38.9,59.7,24.2,41.6,20.1,24,3,Suburban,767,2021
London,16-03-2021,384,17.4,44.1,41.8,19.4,-5,56,5,Suburban,841,2021
Delhi,17-03-2021,419,34.4,87.5,32.2,28.9,10.1,30,10,Urban,1471,2021
Los Angeles,18-03-2021,267,63.5,10.1,18.1,11.7,26.3,35,9,Urban,1618,2021
Delhi,19-03-2021,121,13.8,35.3,44.6,44.1,-2.2,29,4,Urban,1835,2021
Delhi,20-03-2021,285,41.3,42.9,37.5,17.2,27.7,83,5,Urban,354,2021
Los Angeles,21-03-2021,304,29.1,22.7,45.5,42.8,20.7,29,8,Urban,1051,2021
São Paulo,22-03-2021,97,23.6,45.7,23.6,32.9,3.5,36,6,Urban,712,2021
Mexico City,23-03-2021,496,27.8,66.7,42.1,61.7,2.5,90,10,Suburban,1112,2021
Delhi,24-03-2021,206,36.7,53.6,35.7,50,1.8,65,8,Suburban,1242,2021
Mexico City,25-03-2021,57,69.7,62.4,18.6,39.6,26.2,88,9,Urban,665,2021
Delhi,26-03-2021,382,47.3,43.5,24.9,43.9,1.3,55,9,Suburban,418,2021
Tokyo,27-03-2021,323,44.4,43.3,19.2,29.6,7.7,34,14,Urban,408,2021
Los Angeles,28-03-2021,30,27.2,11.8,28.7,46.7,5.3,61,11,Urban,804,2021
Delhi,29-03-2021,183,19.1,38,30.8,51,-1.7,76,11,Urban,1320,2021
Delhi,30-03-2021,50,23.9,59.7,36.5,37.5,32.7,81,2,Urban,979,2021
Delhi,31-03-2021,193,53.7,48,42.3,35.6,2.1,65,6,Urban,939,2021
São Paulo,01-04-2021,26,27.3,84.7,13.3,16.7,2.8,59,1,Urban,469,2021
Beijing,02-04-2021,30,38.7,53.4,21.6,70.3,35.9,28,14,Rural,1237,2021
Los Angeles,03-04-2021,408,35.7,85.4,28.9,22.3,4.9,61,10,Suburban,1553,2021
Mexico City,04-04-2021,140,37.3,45.8,32,48,20.9,46,6,Urban,1716,2021
Mexico City,05-04-2021,366,33.5,50.3,36.2,42.6,34.1,22,8,Urban,1309,2021
Delhi,06-04-2021,427,42.7,50.2,31,20.4,1.6,56,15,Urban,319,2021
Tokyo,07-04-2021,342,24,49.8,13.3,44.3,31.8,76,8,Urban,1159,2021
Beijing,08-04-2021,29,44.6,48.2,25.3,33.9,6,92,16,Urban,745,2021
Mexico City,10-04-2021,153,35.6,49.4,15.5,23.1,14.7,39,3,Urban,1030,2021
Mexico City,11-04-2021,337,30.2,80,34.4,50.5,3.5,41,9,Urban,1565,2021
Tokyo,12-04-2021,493,32.8,18.8,44.2,56.2,28.8,31,6,Urban,1499,2021
Delhi,13-04-2021,27,46.5,20.7,46.3,30,23.5,85,8,Suburban,865,2021
Beijing,14-04-2021,72,17.2,68.6,28,35.8,15,50,5,Urban,1194,2021
Beijing,15-04-2021,417,53.5,65.3,40.2,24.8,35.3,47,15,Urban,313,2021
Beijing,16-04-2021,381,36.8,32.7,54.7,34.8,22.8,82,3,Suburban,1202,2021
Delhi,17-04-2021,470,40.7,47.5,27.1,31.5,11.3,27,5,Suburban,1068,2021
Delhi,18-04-2021,497,33.7,35.5,34.7,40.9,14.8,50,6,Suburban,581,2021
Delhi,19-04-2021,35,35.2,22.4,41.6,39.4,8.8,81,6,Urban,1651,2021
Beijing,20-04-2021,444,21.6,56.9,27.8,36.8,29.5,61,6,Urban,1827,2021
Beijing,21-04-2021,99,21.6,46,32.9,32.1,36.8,45,9,Urban,223,2021
Mexico City,22-04-2021,427,16.4,57.5,47.8,35.5,-4,78,5,Urban,749,2021
Mexico City,23-04-2021,315,13.9,51.5,37.5,48.3,-2.6,43,4,Urban,1051,2021
Beijing,25-04-2021,490,32.8,71.5,21.6,34.7,33.6,20,11,Urban,1848,2021
Delhi,26-04-2021,136,40.8,68.1,19,27.9,32.1,57,9,Urban,1635,2021
Mexico City,27-04-2021,260,41.1,87.2,49.2,42.6,31.4,59,13,Urban,256,2021
Beijing,28-04-2021,480,37.1,50.7,29.4,39.5,30.5,74,13,Suburban,61,2021
Delhi,29-04-2021,388,46,82,26.5,49.7,24.6,36,14,Urban,879,2021
Beijing,30-04-2021,270,55.2,56.4,33,44.6,14.4,31,9,Urban,934,2021
Beijing,01-05-2021,357,37,52.8,42.5,48.2,31.1,64,10,Urban,209,2021
Delhi,02-05-2021,53,25,72.6,38,34.9,1.6,33,10,Urban,242,2021
Mexico City,03-05-2021,362,53.1,40.7,36.7,43.1,16.1,59,12,Urban,1569,2021
Mexico City,04-05-2021,432,13.4,58.4,40.4,42.8,7.9,75,7,Suburban,640,2021
Los Angeles,05-05-2021,218,44.9,30.1,31.3,40.7,7.5,85,10,Urban,1319,2021
Mexico City,06-05-2021,65,37.3,89,15,30.5,17.1,63,6,Urban,665,2021
Mexico City,07-05-2021,49,44.7,76.2,17.9,46.5,4.6,67,14,Suburban,388,2021
Beijing,08-05-2021,88,18.9,28.9,44.5,50,-1,83,9,Rural,339,2021
Los Angeles,09-05-2021,292,45.3,23,34.6,31.6,16.8,34,10,Suburban,1613,2021
Beijing,10-05-2021,0,30.5,80.6,14.6,28.5,12.3,32,4,Urban,236,2021
Beijing,11-05-2021,499,26.9,5.3,38.2,37.4,9.2,81,2,Urban,521,2021
Mexico City,12-05-2021,188,58.3,91.2,13.8,24.3,-4.6,69,8,Suburban,907,2021
Beijing,13-05-2021,245,50.4,52.2,34.8,45.1,39.7,21,13,Urban,258,2021
Beijing,14-05-2021,208,42,51,27.3,48.3,39.7,85,9,Suburban,1576,2021
Los Angeles,15-05-2021,345,39.4,44.4,18,33.3,31.5,66,5,Suburban,1969,2021
Tokyo,16-05-2021,129,22.8,48.8,40,47.9,27.3,52,7,Urban,681,2021
Tokyo,17-05-2021,432,23.8,68.9,26,40.8,31.3,82,7,Suburban,486,2021
Beijing,18-05-2021,410,43.1,37.6,34,52.4,4,87,13,Urban,1725,2021
Beijing,19-05-2021,379,17.7,56.9,36.3,49.7,33.6,78,6,Urban,594,2021
Los Angeles,20-05-2021,440,51.6,71.6,29.4,27.3,1.8,94,16,Rural,647,2021
Beijing,21-05-2021,380,53.7,33.8,25.3,26.7,24.5,90,8,Rural,1383,2021
London,22-05-2021,147,51,60.5,21.7,42.8,-1.7,54,10,Urban,873,2021
Beijing,23-05-2021,337,44.3,40.5,19.8,28.8,6,79,10,Suburban,320,2021
Delhi,24-05-2021,259,21.9,80.1,24.9,32.9,-3.6,62,11,Suburban,830,2021
Delhi,25-05-2021,342,21.3,30.1,3.6,35.9,37.2,86,6,Urban,157,2021
London,26-05-2021,470,54.7,76.4,40.5,50.9,-3.8,61,11,Urban,1854,2021
Delhi,27-05-2021,38,40.8,42.8,26.7,33.3,22.7,57,7,Urban,425,2021
Delhi,28-05-2021,90,46.2,63.9,19.4,54.1,20.2,47,12,Urban,813,2021
Beijing,29-05-2021,473,54.1,19,48.6,40.4,28.5,27,13,Suburban,1493,2021
Delhi,30-05-2021,109,65.8,25.6,32.4,49.6,-2,67,7,Urban,863,2021
Beijing,31-05-2021,244,23,33.6,45.4,37.3,6.3,31,9,Urban,399,2021
Delhi,02-06-2021,414,10.5,10.7,32.2,47.4,35.1,52,8,Urban,768,2021
London,03-06-2021,120,30.4,69.9,21.1,42.3,5.3,46,5,Urban,1967,2021
Beijing,05-06-2021,18,42.9,9.3,26.6,32.8,30.1,28,7,Urban,150,2021
Delhi,06-06-2021,155,61.9,21.9,29.8,42.4,8.1,30,9,Urban,525,2021
Mexico City,07-06-2021,449,24.4,89.9,21.7,42.2,35.3,91,8,Urban,1682,2021
Delhi,08-06-2021,423,9.5,33.3,50.6,54.1,31.3,55,9,Suburban,1567,2021
Beijing,09-06-2021,26,20.4,55.3,30.9,28.1,4.2,49,10,Suburban,1686,2021
Cairo,10-06-2021,488,17,43.1,19.8,34.7,29.1,93,7,Urban,64,2021
São Paulo,11-06-2021,182,2.6,25.2,51.2,34.3,25,44,4,Urban,737,2021
Los Angeles,12-06-2021,67,42.8,45.8,35.1,39.8,2.2,52,7,Urban,1629,2021
Beijing,13-06-2021,47,40.3,72.1,29,32.4,2.2,92,8,Urban,562,2021
Mexico City,14-06-2021,145,26.2,40.1,21.8,40.1,-0.5,29,12,Suburban,697,2021
Los Angeles,15-06-2021,173,42.1,42.2,17.4,38.3,21.9,77,9,Urban,116,2021
Beijing,16-06-2021,318,44.9,83.2,46.8,31.9,10.7,67,10,Urban,1405,2021
Mexico City,17-06-2021,54,58.6,40,12,38.2,1.6,82,9,Suburban,1925,2021
Delhi,18-06-2021,255,39.6,51.4,45.2,24.1,28.1,72,14,Suburban,578,2021
Delhi,19-06-2021,55,19.5,49.9,28.3,19.8,34.9,46,1,Urban,522,2021
Beijing,20-06-2021,310,46.2,50.1,26.6,51.7,30.6,31,8,Urban,726,2021
Delhi,21-06-2021,320,19.9,38,42.2,57,3.8,20,1,Urban,1134,2021
Delhi,22-06-2021,343,40.2,102.4,32.1,45.5,15.2,26,5,Urban,229,2021
London,23-06-2021,221,59.8,65.4,12.8,15,23.2,49,6,Urban,730,2021
São Paulo,24-06-2021,211,38.7,87.9,35.1,46.8,-1.7,89,4,Urban,153,2021
Mexico City,25-06-2021,136,45.9,25.7,30.9,49.6,4,67,9,Urban,890,2021
London,26-06-2021,463,12.5,56.5,35.5,16.6,2.6,78,15,Urban,881,2021
São Paulo,27-06-2021,477,55.3,69.5,21.3,23.4,30.6,74,7,Urban,1657,2021
Delhi,28-06-2021,51,5.2,34.4,23,30.9,39.5,56,4,Suburban,784,2021
Beijing,29-06-2021,485,61.1,52.9,19.9,34.9,-2.4,31,16,Urban,1252,2021
Beijing,30-06-2021,276,66.3,56.4,32.4,49.6,28.4,94,8,Urban,1879,2021
Delhi,01-07-2021,306,30.7,67.7,22.6,64.8,11.3,71,6,Urban,1551,2021
Los Angeles,02-07-2021,337,28.2,57.7,24.2,53.6,12.2,25,8,Urban,1716,2021
Beijing,03-07-2021,101,33,75.2,42.6,28.3,9.8,65,10,Urban,594,2021
Beijing,04-07-2021,470,52.6,65.3,22.6,43.8,-0.5,26,13,Urban,372,2021
Delhi,05-07-2021,465,11.5,7.4,32.6,46.3,15.3,53,8,Suburban,1974,2021
Delhi,06-07-2021,204,31.9,80.5,31.5,35.4,9.1,59,13,Suburban,528,2021
Tokyo,07-07-2021,183,40.2,35,44.4,40.9,-2.5,72,10,Urban,683,2021
Delhi,08-07-2021,449,59,52.5,40,42.5,-3.8,30,15,Suburban,188,2021
Delhi,10-07-2021,135,44,48.2,38.7,50.9,21.7,90,7,Suburban,735,2021
Mexico City,12-07-2021,8,50.3,47,43.4,42.7,31.1,63,5,Urban,666,2021
Beijing,13-07-2021,370,49.2,67.5,30.1,51.5,3.3,21,12,Urban,1004,2021
Delhi,14-07-2021,329,25.5,29.8,37.8,18.9,31.1,47,12,Urban,1503,2021
London,16-07-2021,275,57.8,58.7,26.2,8.7,17.3,63,11,Suburban,311,2021
Mexico City,17-07-2021,269,18.7,24,19.8,62.1,21.2,39,4,Suburban,1709,2021
Mexico City,18-07-2021,121,24.4,93.2,20.6,43.4,18.2,24,9,Urban,1660,2021
Mexico City,19-07-2021,486,46.3,44,38.4,42.1,-1.5,58,9,Urban,279,2021
Los Angeles,20-07-2021,250,27.9,79.5,12.4,36.9,8.1,51,8,Suburban,158,2021
Delhi,21-07-2021,247,33,47.4,33.4,45.3,17.6,45,2,Urban,419,2021
Beijing,22-07-2021,304,60.9,31.8,36.6,30.4,34.5,93,12,Urban,1093,2021
Beijing,23-07-2021,353,52.3,53.7,35.2,34.4,17.4,65,14,Urban,1632,2021
Beijing,24-07-2021,234,29.9,60.7,33.8,41.7,23.1,77,6,Urban,1357,2021
London,25-07-2021,106,31.7,43.1,35.3,32.6,18.7,52,10,Urban,652,2021
Beijing,26-07-2021,205,4.3,2,27.1,33.5,-4.1,22,0,Rural,1109,2021
Los Angeles,27-07-2021,309,41.9,46.4,39.3,46.4,7.6,36,6,Suburban,1341,2021
London,28-07-2021,123,3,47.2,41.1,59.6,7.4,88,1,Suburban,643,2021
Beijing,29-07-2021,89,19.5,26.3,32.4,38.6,37.2,58,10,Suburban,469,2021
Tokyo,30-07-2021,74,16.9,79.1,21.2,55.7,37,48,6,Urban,1135,2021
Mexico City,31-07-2021,183,50.5,52.6,21.5,33.7,34.4,41,11,Urban,571,2021
London,01-08-2021,390,40.1,71.3,37.3,34.9,-3.4,37,15,Urban,692,2021
Beijing,02-08-2021,224,44.1,65.1,22.5,27.3,14.9,52,14,Urban,349,2021
Beijing,03-08-2021,153,14.1,29.2,10,61.3,24.9,80,6,Suburban,123,2021
Beijing,04-08-2021,335,54.5,24.5,27.1,36.8,21.1,75,14,Urban,1915,2021
Delhi,05-08-2021,395,35.6,34.3,20.4,34.5,2.3,22,8,Rural,1303,2021
Beijing,06-08-2021,40,16.1,60.6,35.4,45.3,13.4,79,7,Urban,642,2021
Tokyo,07-08-2021,470,28.8,64,41,37.2,13.9,77,4,Urban,873,2021
Mexico City,08-08-2021,50,61.5,83.2,27.8,47.4,13.1,60,12,Urban,975,2021
Delhi,09-08-2021,361,24,55.8,25,52.8,36.2,82,14,Urban,1675,2021
Beijing,10-08-2021,26,40.3,57.5,37.1,28.8,29.8,70,14,Suburban,1870,2021
Delhi,11-08-2021,150,36,33,38.9,47.3,14.7,81,10,Rural,1300,2021
Delhi,12-08-2021,190,24.8,14.7,43.2,46.2,11.9,68,6,Suburban,903,2021
Tokyo,13-08-2021,98,43.6,61.3,28,44.5,-1.9,47,7,Urban,420,2021
Beijing,14-08-2021,100,42.3,19.1,34.8,40.7,2.3,20,11,Urban,1314,2021
Beijing,15-08-2021,181,33.2,67.3,28.7,44.5,21.3,68,13,Urban,860,2021
Delhi,17-08-2021,245,20.4,59.4,19,38.6,11,39,11,Urban,1230,2021
Delhi,18-08-2021,412,11,43.7,33.7,32.4,13.8,63,5,Urban,1686,2021
Los Angeles,19-08-2021,404,47.8,42.6,24.9,35.4,20.8,90,12,Suburban,1029,2021
Mexico City,20-08-2021,122,25,45.5,25.6,38.9,2.4,48,7,Urban,454,2021
São Paulo,21-08-2021,223,42.1,86.1,51.7,61,13.8,38,10,Rural,877,2021
Mexico City,22-08-2021,307,40,63.1,34.9,25,20.5,62,2,Suburban,1594,2021
Beijing,23-08-2021,138,36.7,64,25.5,45.2,0.5,90,13,Urban,386,2021
Los Angeles,24-08-2021,244,65.1,49.5,46.3,29,0.5,85,12,Urban,1385,2021
Tokyo,25-08-2021,148,15.2,72.5,30.6,31.8,9,20,4,Rural,1000,2021
Los Angeles,26-08-2021,100,31.2,21.2,28.9,51.5,7.8,86,5,Suburban,401,2021
Cairo,27-08-2021,36,34.5,32.7,27.1,58.9,18.6,93,8,Urban,1085,2021
Los Angeles,28-08-2021,318,43.1,48.9,30.5,35.7,34.3,82,10,Urban,1864,2021
London,29-08-2021,240,33.2,53.9,30.9,44.5,20.9,70,9,Urban,1536,2021
Delhi,30-08-2021,368,23.6,60,21.7,42.4,33.9,68,10,Suburban,1146,2021
Los Angeles,31-08-2021,33,13.7,32.3,21.1,25.3,22.5,46,6,Suburban,1265,2021
Beijing,01-09-2021,418,30.2,23.1,21.1,42.8,-0.5,90,7,Urban,1039,2021
